"request_start_d","count","sum"
"03.05.2025",315,1710.000000
"04.05.2025",609,3045.000000
"05.05.2025",1075,7525.000000
"06.05.2025",1945,48876.000000
"07.05.2025",768,5944.000000
"08.05.2025",1465,10531.000000
"09.05.2025",697,5994.000000
"10.05.2025",617,4208.000000
"11.05.2025",766,5512.000000
"12.05.2025",1458,19318.000000
"13.05.2025",1379,239775.000000
"14.05.2025",1080,10744.000000
"15.05.2025",1534,11466.000000
"16.05.2025",1358,9410.000000
"17.05.2025",867,5133.000000
"18.05.2025",777,3170.000000
