"request_start_d","count","sum"
"03.05.2025",315,135153.000000
"04.05.2025",609,258626.000000
"05.05.2025",1076,464399.000000
"06.05.2025",1959,2991404.000000
"07.05.2025",770,325294.000000
"08.05.2025",1467,3133433.000000
"09.05.2025",697,295773.000000
"10.05.2025",617,262794.000000
"11.05.2025",767,321785.000000
"12.05.2025",1462,630253.000000
"13.05.2025",1380,590332.000000
"14.05.2025",1083,474220.000000
"15.05.2025",1538,757284.000000
"16.05.2025",1358,631725.000000
"17.05.2025",868,405674.000000
"18.05.2025",777,342934.000000
